route_id,assessment_date,origin,destination,vessel_class,cargo_type,mvp_core,is_east_coast_india,latest_observed_freight_rate,freight_rate_unit,source_name,origin_normalized,destination_normalized,origin_latitude,origin_longitude,destination_latitude,destination_longitude,geodesic_proxy_nm,distance_nm,distance_source,distance_quality,typical_dwt_min,typical_dwt_max,average_dwt_assumption,cargo_quantity_mt,typical_loa_m,typical_beam_m,typical_draft_m,speed_knots,bunker_mt_per_day,port_days,daily_opex_usd,other_voyage_cost_usd,cargo_utilization,physics_status,production_ready,assumption_flag
10,2022-02-09,Indonesia,"Paradip, India",Supramax,thermal coal,Yes,Yes,21.3,$/mt,S&P Global Commodity Insights,Indonesia,"Paradip, Odisha, India",-2.4833826,117.8902853,20.286946,86.6739979,2290.581743078945,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
11,2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,No,Yes,27.85,$/mt,ISM Report,"Hay Point, Queensland, Australia","Visakhapatnam, Andhra Pradesh, India",-21.298313,149.2693543,17.6935526,83.2921297,4530.993056611106,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
12,2022-06-17,Mozambique (Beira / Maputo),East Coast India,Handysize,coking coal,No,Yes,43.75,$/mt,ISM Report,"Maputo, Mozambique","Paradip, Odisha, India",-25.966213,32.56745,20.286946,86.6739979,4200.744866048197,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,,,,,,,,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
13,2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,No,No,26.5,$/mt,KSI-BHP Charter Party Fixture Note,"Adang Bay, East Kalimantan, Indonesia","Kandla, Gujarat, India",-1.7376896,116.3477513,23.0177525,70.2096164,3078.4831830919748,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
14,2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,Yes,Yes,15.0,$/mt,OfBusiness / Coal Market Intel,"East Kalimantan, Indonesia","Paradip, Odisha, India",0.7884397,116.2419977,20.286946,86.6739979,2093.2529621941667,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
15,2024-07-04,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,No,Yes,19.5,$/mt,ISM Report (Week 27/2024),"Taman, Russia","Visakhapatnam, Andhra Pradesh, India",45.2158646,36.7191326,17.6935526,83.2921297,2845.0552806719415,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
16,2024-10-25,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,No,Yes,14.0,$/mt,Banchero Costa / Bancosta Weekly (Week 43/2024),"Richards Bay, South Africa","Gangavaram, Andhra Pradesh, India",-28.7707857,32.0577775,13.2351728,78.7511018,3700.675382510653,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,150000.0,200000.0,175000.0,166250.0,292.0,45.0,18.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
17,2025-02-21,"Queensland, Australia","Haldia, India",Panamax,coking coal,No,Yes,20.3,$/mt,Coal Trends Global,"Queensland, Australia","Haldia, West Bengal, India",-22.1646782,144.5844903,22.028124,88.0632655,4239.181962218447,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
18,2025-02-21,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,No,Yes,12.8,$/mt,Coal Trends Global,"Richards Bay, South Africa","Haldia, West Bengal, India",-28.7707857,32.0577775,22.028124,88.0632655,4449.583218443164,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
19,2026-04-20,"Richards Bay, South Africa","Kandla, India",Capesize,coal,No,No,17.45,$/mt,Argus Media,"Richards Bay, South Africa","Kandla, Gujarat, India",-28.7707857,32.0577775,23.0177525,70.2096164,3812.4774375973484,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,150000.0,200000.0,175000.0,166250.0,292.0,45.0,18.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
20,2026-04-20,East Coast Australia,East Coast India,Panamax,coal,No,Yes,17.7,$/mt,Argus Media,"Brisbane, Queensland, Australia","Paradip, Odisha, India",-27.4689623,153.0235009,20.286946,86.6739979,4802.288716424331,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
21,2026-04-20,Indonesia,East Coast India,Panamax,coal,No,Yes,11.2,$/mt,Argus Media,Indonesia,"Paradip, Odisha, India",-2.4833826,117.8902853,20.286946,86.6739979,2290.581743078945,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
22,2026-04-20,Indonesia,West Coast India,Panamax,coal,No,No,12.85,$/mt,Argus Media,Indonesia,"Kandla, Gujarat, India",-2.4833826,117.8902853,23.0177525,70.2096164,3180.7665327955847,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
23,2026-04-20,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,No,Yes,19.55,$/mt,Argus Media,"Richards Bay, South Africa","Krishnapatnam, Andhra Pradesh, India",-28.7707857,32.0577775,14.2592415,80.0564758,3798.2406197021464,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,150000.0,200000.0,175000.0,166250.0,292.0,45.0,18.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
24,2026-04-20,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,No,Yes,44.35,$/mt,Argus Media,"Hampton Roads, Virginia, USA","Paradip, Odisha, India",36.9507552,-76.4114187,20.286946,86.6739979,7239.626525044031,,OSM_GEOCODED_GEODESIC_PROXY,PROXY_ONLY,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,DISTANCE_REQUIRES_SEA_ROUTE_VALIDATION
